"ProductID";"PartNumber";"Description"
295;"hx4t03";"4"" golden to silver crossette"
296;"hx4t04";"4"" red wave crossette"
297;"hx4t05";"4"" chrys to red"
298;"hx4t06";"4"" time rain willow"
299;"hx4t07";"4"" glittering crossette"
300;"hx4t08";"4"" red glittering willow"
301;"hx4t09";"4"" smiling face"
302;"hx4t10";"4"" green wave crossette"
303;"hx4t11";"4"" golden to blue crossette"
304;"hx4t12";"4"" red wave to silver strobe"
305;"hx4t13";"4"" blue cycas"
306;"hx4t14";"4"" lemon peony w/purple pistil"
307;"hx4t15";"4"" golden spangle crown w/red pistil"
308;"hx4t16";"4"" dandelion to blue"
309;"hx4t17";"4"" silver strobe willow"
310;"hx4t18";"4"" gold willow to blue horse tail"
311;"hx4t19";"4"" salute, ti w/silver tail (ball)"
312;"hx4t20";"4"" green coconut crossette w/chrys pistil"
313;"hx4t21";"4"" brocade to blue horsetail"
314;"hx4t22";"4"" golden strobe to red w/green pistil"
315;"hx4t23";"4"" red crossette"
316;"hx4t24";"4"" twice crackling"
317;"hx4t25";"4"" purple peony w/chrys pistil"
318;"hx4t26";"4"" green chrys w/coconut pistil w/tail"
319;"hx4t27";"4"" nightsnow"
320;"hx4t28";"4"" pink peony"
321;"hx4t29";"4"" multicolor chrys"
322;"hx4t30";"4"" blue meteor"
323;"hx4t31";"4"" gold spangle crown w/red meteors"
324;"hx4t32";"4"" lemon chrys"
325;"hx4t33";"4"" brocade crown waterfall to red"
326;"hx4t34";"4"" brocade crown waterfall to blue"
327;"hx4t35";"4"" purple dahlia w/white strobe pistil"
328;"hx4t36";"4"" violet peony"
329;"hx4t37";"4"" purple peony"
330;"hx4t38";"4"" green strobe willow"
331;"hx4t39";"4"" chrys to white strobe"
332;"hx4t40";"4"" red chrys w/silver chrys pistil"
333;"hx4t42";"4"" charcoal crossette"
334;"hx4t43";"4"" brocade waterfall to color change"
335;"hx4t44";"4"" silver crown chrys to red"
336;"hx4t45";"4"" red flower"
337;"hx4t47";"4"" green glittering willow"
338;"hx4t49";"4"" white peony"
339;"hx4t50";"4"" red peony"
340;"hx4t51";"4"" red coconut crossette"
341;"hx4t53";"4"" blue peony"
342;"hx4t54";"4"" multicolor palm tree w/brocade trunk tail"
